"id","Статус","Номер СС","Дата рег","Срок действия","Временный номер СС","Тип объекта серт","Номер бланка","Номер ГТД","Номер бланка приложений","Тех регламенты","Схема","Тип серт","Группа продукции","Тип заявителя","Вид заявителя","Заявитель","Адрес заявителя","ИНН заявителя","ОГРН заявителя","ОПФ заявителя","Тип изготовителя","Изготовитель","Адрес изготовителя","ИНН изготовителя","ОГРН изготовителя","ОПФ изготовителя","ОС","Происх продукции","Единый перечень продукции","Полное наименование продукции","Размер партии","Обозначение продукции","Тип продукции","Марка продукции","Модель продукции","Артикул продукции","Сорт продукции","Коды ОКПД2/ТНВЭД","Глобальный номер GTIN","Заводской номер продукции","Стандарты продукции","Срок следующего ИК","Дата приостановки","Срок приостановки","Дата прекращения","Дата возобновления","Дата продления","Рег номер серт","Номер СМК","Номер одобрения шасси","ИЛ","Дата протокола ИЛ","Номер протокола ИЛ","Временный номер серт","Филиал заявителя","Филиал изготовителя"
3192690,"Архивный","ЕАЭС RU С-CN.АЯ46.В.27677/23","11.01.2023","10.01.2026","врЕАЭС(ТР).АЯ46.39662/23","Серийный выпуск",428255,,,"О безопасности продукции  предназначенной для детей и подростков","1с","Сертификат соответствия требованиям технического регламента Евразийского экономического союза (технического регламента Таможенного союза)","Платья  халаты  фартуки  блузки  верхние сорочки  свитеры  джемперы  шорты  изделия без подкладки и изделия  в которых подкладка занимает менее 40 процентов площади верха изделия (костюмы  брюки  юбки  пиджаки  жакеты  жилеты  сарафаны  полукомбинезоны  комбинезоны)  и аналогичные изделия  заявленные изготовителем как предназначенные для детей и подростков","Юридическое лицо","Уполномоченное изготовителем лицо","Общество с ограниченной ответственностью ""ЛЮКС ТРЕЙД""","Россия  107023  г.Москва  Медовый пер.  д.5  стр. 1  эт.2  пом 15Б",7719762040,1107746843269,"Общества с ограниченной ответственностью","Иностранное лицо","MCSTYLES TRADE CO.  LIMITED","Китай  Room 63  КИТАЙ 7/f Woon Lee Commercial Building 7-9 Austin Ave Tsim Sha Tsui Kowloon H.K  30.739220  120.798490",,,,"RA.RU.10АЯ46","КИТАЙ",,"Одежда верхняя (2-го слоя) для девочек старше 3 лет и девочек-подростков: жакеты  жилеты  комбинезоны  полукомбинезоны  платья  сарафаны  брюки  шорты  юбки  юбки-шорты из ткани из хлопковых волокон  в том числе в смеси с синтетическими волокнами  в том числе с вложением искусственных волокон  в том числе с вложением эластомерной нити ",,"Одежда верхняя (2-го слоя) для девочек старше 3 лет и девочек-подростков: жакеты  жилеты  комбинезоны  полукомбинезоны  платья  сарафаны  брюки  шорты  юбки  юбки-шорты из ткани из хлопковых волокон  в том числе в смеси с синтетическими волокнами  в том числе с вложением искусственных волокон  в том числе с вложением эластомерной нити ",,,,"с товарными знаками: «BUTTON BLUE»  «Gulliver»",,"6204329000; 6204420000; 6204520000; 6204623900; 6204625900; 6204629000",,,,"15.12.2025",,,,,,,,,"RA.RU.21АЗ43",2023-01-11,"309496-22; 309497-22; 127069-22; 127070-22",,,"GUANGZHOU EVER PROGRESS GARMENTS CO.  LTD"
3033463,"Архивный","ЕАЭС RU С-CN.АБ58.В.02263/22","26.01.2022","25.01.2026","врЕАЭС(ТР).АБ58.02369/22","Серийный выпуск",302552,,,"О безопасности колесных транспортных средств","р.V  пр.1 ТР ТС 018","Сертификат соответствия требованиям технического регламента Евразийского экономического союза (технического регламента Таможенного союза)","Категория M1 - Транспортные средства  используемые для перевозки пассажиров и имеющие  помимо места водителя  не более восьми мест для сидения - легковые автомобили","Юридическое лицо","Уполномоченное изготовителем лицо","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ДЖАК АВТОМОБИЛЬ""","109004  РОССИЯ  ГОРОД МОСКВА  ПЕРЕУЛОК ТОВАРИЩЕСКИЙ  31  СТР.5",7709912680,1127746758391,"Общества с ограниченной ответственностью","Иностранное лицо","Anhui Jianghuai Automobile Group Corp.  Ltd.","КИТАЙ  No. 176  Dongliu Road  Hefei City  Anhui Province  230022",,,,"RA.RU.11АБ58","КИТАЙ",,"транспортное средство",,"транспортное средство","S4","JAC",,,,"870322; 870323",,,"ТР ТС 018/2011",,,,,,,,,,,,,,,
3035209,"Архивный","ЕАЭС RU С-RU.МТ25.В.04907/22","28.01.2022","27.01.2026","врЕАЭС(ТР).МТ25.04927/22","Серийный выпуск",334743,,,"О безопасности колесных транспортных средств","р.V  пр.1 ТР ТС 018","Сертификат соответствия требованиям технического регламента Евразийского экономического союза (технического регламента Таможенного союза)","Категория M1 - Транспортные средства  используемые для перевозки пассажиров и имеющие  помимо места водителя  не более восьми мест для сидения - легковые автомобили","Юридическое лицо","Изготовитель","АКЦИОНЕРНОЕ ОБЩЕСТВО ""АВТОВАЗ""","445024  РОССИЯ  ОБЛАСТЬ САМАРСКАЯ  ГОРОД ТОЛЬЯТТИ  ШОССЕ ЮЖНОЕ  36",6320002223,1026301983113,"Непубличные акционерные общества","Юридическое лицо","АКЦИОНЕРНОЕ ОБЩЕСТВО ""АВТОВАЗ""","445024  РОССИЯ  ОБЛАСТЬ САМАРСКАЯ  ГОРОД ТОЛЬЯТТИ  ШОССЕ ЮЖНОЕ  36",6320002223,1026301983113,"Непубличные акционерные общества","RA.RU.11МТ25","РОССИЯ",,"Транспортные средства категории M1",,"Транспортные средства марки LADA типа 21  коммерческого наименования LADA 4х4  модификаций 212140  213100 категории М1G.",,,,,,870323,,,"ТР ТС 018/2011",,,,,,,,,,"RA.RU.21МТ02",2022-01-19,"10.0/RU/0/V/S/TCU018-А3Р14/2022/14",,"ПРЕДСТАВИТЕЛЬСТВО ПАО ""АВТОВАЗ"" В Г. МОСКВА","Товарищество с ограниченной ответственностью «СарыаркаАвтоПром»  110000  Костанайская обл.   г. Костанай  ул. Промышленная  41  Республика Казахстан; Акционерное общество «АВТОВАЗ»  445024  Самарская обл.  г. Тольятти  Южное ш.  36  Российская Федерация"
3195921,"Архивный","ЕАЭС RU С-CN.АЯ46.В.27796/23","19.01.2023","18.01.2026","врЕАЭС(ТР).АЯ46.39782/23","Серийный выпуск",428371,,,"О безопасности игрушек","1с","Сертификат соответствия требованиям технического регламента Евразийского экономического союза (технического регламента Таможенного союза)","Игрушки в наборах или комплектах прочие; Игрушки прочие","Юридическое лицо","Уполномоченное изготовителем лицо","АКЦИОНЕРНОЕ ОБЩЕСТВО ""АРВИАЙ (РАШЕН ВЕНЧУР ИНВЕСТМЕНТС)""","109029  Россия  город Москва  улица Средняя Калитниковская  Дом 28  Строение 4  Эт/пом/ком 1/VIII/8",7706571841,1057746421435,"Непубличные акционерные общества","Иностранное лицо","Union source co. ltd","Китай  Ningbo Development zone unite area sheng gang lou A315B room  China  GLN 6974106270015",,,,"RA.RU.10АЯ46","КИТАЙ",,"Игрушки для детей старше 3-х лет - предметы игрового обихода  в том числе в наборах  в том числе для конструирования  из полимерных материалов  металла  в том числе с элементами из различных материалов ",,"Игрушки для детей старше 3-х лет - предметы игрового обихода  в том числе в наборах  в том числе для конструирования  из полимерных материалов  металла  в том числе с элементами из различных материалов ",,,,"с маркировкой Union Source: ""Игрушка Лейка""  артикул: TL220810005; ""Игрушка Мыльные пузыри""  артикул: ZJM21050431; ""Игрушка Мыльные пузыри""  артикул: JL002; ""Игрушка Мыльные пузыри""  артикул: TL220713066; ""Игрушка Мыльные пузыри""  артикул: TL220713073; ""Игрушка Мыльные пузыри""  артикул: TL220526044; ""Игрушка изображающая транспортное средство «Машинка спорт»  артикул: ZJM22101301; Игровой набор ""Полиция""  артикул: ZJM22042551; Игрушка для конструирования ""Фастфуд""  артикул: ZJM22101303; Игрушка для конструирования ""2 в 1""  артикул: TL221009105; Игрушка для конструирования ""Кукла-конструктор""  артикул: TL221009033; Игрушка ""Кукла в платье""  артикул: TL21107201.",,"9503002100; 9503003500; 9503007000; 9503008100; 9503009500; 9503009909",,,"ГОСТ EN 71-1-2014","18.11.2025",,,,,,,,,"RA.RU.21АЗ43",2023-01-17,"300080-23; 300081-23; 300082-23; 100000-23",,,"Адрес (адреса) места осуществления деятельности по изготовлению продукции:"
3192628,"Архивный","ЕАЭС RU С-CN.АЯ46.В.27672/23","11.01.2023","10.01.2026","врЕАЭС(ТР).АЯ46.39657/23","Серийный выпуск",428258,,934816,"О безопасности продукции  предназначенной для детей и подростков","1с","Сертификат соответствия требованиям технического регламента Евразийского экономического союза (технического регламента Таможенного союза)","Платья  халаты  фартуки  блузки  верхние сорочки  свитеры  джемперы  шорты  изделия без подкладки и изделия  в которых подкладка занимает менее 40 процентов площади верха изделия (костюмы  брюки  юбки  пиджаки  жакеты  жилеты  сарафаны  полукомбинезоны  комбинезоны)  и аналогичные изделия  заявленные изготовителем как предназначенные для детей и подростков","Юридическое лицо","Уполномоченное изготовителем лицо","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""БАТТОН БЛЮ""","Россия  107023  г.Москва  Медовый пер.  д.5  стр. 1  этаж 2  пом.15Д",7719835058,1137746071374,"Общества с ограниченной ответственностью","Иностранное лицо","NINGBO BUENOS GARMENTS CO.  LTD.","Китай  Room.1607  Bld. 1  Hi-tech science and technology square  No.1498 of Jiangnan Rd.  Ningbo  China  29.868336  121.543990",,,,"RA.RU.10АЯ46","КИТАЙ",,"Одежда верхняя (2-го слоя) для девочек от 3 лет и девочек-подростков: жакеты  блейзеры  платья  сарафаны  комбинезоны  полукомбинезоны  юбки  юбки-брюки  брюки  бриджи  шорты из ткани из смеси хлопковых и синтетических волокон  из ткани из искусственных волокон ",,"Одежда верхняя (2-го слоя) для девочек от 3 лет и девочек-подростков: жакеты  блейзеры  платья  сарафаны  комбинезоны  полукомбинезоны  юбки  юбки-брюки  брюки  бриджи  шорты из ткани из смеси хлопковых и синтетических волокон  из ткани из искусственных волокон",,"с товарными знаками: «BUTTON BLUE»  «Gulliver»",,,,"6204329000; 6204391900; 6204420000; 6204440000; 6204520000; 6204591000; 6204623900; 6204625900; 6204629000",,,,"15.12.2025",,,,,,,,,"RA.RU.21АЗ43",2023-01-11,"309505-22; 309506-22; 127087-22; 127088-22",,,"XIANGYUN CLOTHING LIMITED; ZHEJIANG NEW VISION IMP. AND EXP. CO.  LTD "
3192734,"Архивный","ЕАЭС RU С-CN.АЯ46.В.27679/23","11.01.2023","10.01.2026","врЕАЭС(ТР).АЯ46.39664/23","Серийный выпуск",428259,,934817,"О безопасности продукции  предназначенной для детей и подростков","1с","Сертификат соответствия требованиям технического регламента Евразийского экономического союза (технического регламента Таможенного союза)","Одеяла  шарфы  платки носовые и головные  полотенца  простыни купальные и аналогичные изделия  заявленные изготовителем как предназначенные для детей и подростков","Юридическое лицо","Уполномоченное изготовителем лицо","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЛЮКС ТРЕЙД""","Россия  107023  г.Москва  Медовый пер.  д.5  стр. 1  эт.2  пом 15Б",7719762040,1107746843269,"Общества с ограниченной ответственностью","Иностранное лицо","SHANGHAI GARMENT GROUP IMP&EXP CORP.","Китай  201100  КИТАЙ  NO.567 MAOTAI ROAD SHANGHAI  29.842350  121.634770",,,,"RA.RU.10АЯ46","КИТАЙ",,"Изделия трикотажные платочно-шарфовые для детей от 3 лет и подростков: шарфы  шарфы-манишки  шарфы-воротники  шарфы-снуды из хлопчатобумажной пряжи  в том числе с вложением синтетических волокон (нитей) ",,"Изделия трикотажные платочно-шарфовые для детей от 3 лет и подростков: шарфы  шарфы-манишки  шарфы-воротники  шарфы-снуды из хлопчатобумажной пряжи  в том числе с вложением синтетических волокон (нитей) ",,,,"с товарными знаками: «BUTTON BLUE»  «Gulliver»",,"6117100000; 6117808009",,,,"15.12.2025",,,,,,,,,"RA.RU.21АЗ43",2023-01-11,"309499-22; 127068-22",,,"XIAMEN LIDEFENG KNITTING CO LTD "
3195549,"Архивный","ЕАЭС RU С-RU.НВ38.В.02211/23","19.01.2023","18.01.2026","врЕАЭС(ТР).НВ38.02796/23","Серийный выпуск",411614,,,"О безопасности продукции  предназначенной для детей и подростков","1с","Сертификат соответствия требованиям технического регламента Евразийского экономического союза (технического регламента Таможенного союза)","Белье постельное и аналогичные изделия  заявленные изготовителем как предназначенные для детей и подростков","Юридическое лицо","Изготовитель","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ХВАЛЫНСКИЙ ТЕКСТИЛЬ""","109428  Российская Федерация  город Москва  улица Зарайская  дом 31",7721266225,1037701035239,"Общества с ограниченной ответственностью","Юридическое лицо","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ХВАЛЫНСКИЙ ТЕКСТИЛЬ""","109428  Российская Федерация  город Москва  улица Зарайская  дом 31",7721266225,1037701035239,"Общества с ограниченной ответственностью","RA.RU.10АЯ24","РОССИЯ",,"Белье постельное для детей до одного года  ясельной  дошкольной  школьной возрастных групп и подростков из хлопчатобумажных тканей  в комплектах и отдельными изделиями ",,"Белье постельное для детей до одного года  ясельной  дошкольной  школьной возрастных групп и подростков из хлопчатобумажных тканей  в комплектах и отдельными изделиями ",,,,"торговой марки «Хвалынский текстиль»: наволочки  простыни  пододеяльники",,6302210000,,,"ГОСТ 31307-2005","23.08.2024",,,,,,,,,"RA.RU.21НУ09",2022-12-27,421227003,,,"Адрес места осуществления деятельности по изготовлению продукции:"
3029147,"Архивный","ЕАЭС RU С-RU.МТ35.В.02422/22","19.01.2022","18.01.2026","врЕАЭС(ТР).МТ35.02432/22","Серийный выпуск",282084,,,"О безопасности колесных транспортных средств","р.V  пр.1 ТР ТС 018","Сертификат соответствия требованиям технического регламента Евразийского экономического союза (технического регламента Таможенного союза)","Категория M3 - Транспортные средства  используемые для перевозки пассажиров  имеющие  помимо места водителя  более восьми мест для сидения  технически допустимая максимальная масса которых превышает 5 т","Юридическое лицо","Изготовитель","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АВТОФУРГОН""","429430  РОССИЯ  ЧУВАШИЯ ЧУВАШСКАЯ РЕСПУБЛИКА -  КОЗЛОВСКИЙ РАЙОН  ГОРОД КОЗЛОВКА  УЛИЦА КАРЛА МАРКСА  1",2107902319,1052137003566,"Общества с ограниченной ответственностью","Юридическое лицо","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АВТОФУРГОН""","429430  РОССИЯ  ЧУВАШИЯ ЧУВАШСКАЯ РЕСПУБЛИКА -  КОЗЛОВСКИЙ РАЙОН  ГОРОД КОЗЛОВКА  УЛИЦА КАРЛА МАРКСА  1",2107902319,1052137003566,"Общества с ограниченной ответственностью","РОСС RU.0001.11МТ35","РОССИЯ",,"Транспортные средства категории М3G",,"Транспортные средства категории М3G  типа 42261В  модификаций 42261-000000-01  42261-000000-02  42261-000000-03  42261-000000-04  42261-000000-05  42261-000000-06",,,,,,8702101199,,,"ТР ТС 018/2011","21.08.2023",,,,,,,"21.069.026",,"RA.RU.21ОЕ60",2021-12-06,"0005/018/R16/0011",,,
3026048,"Архивный","ЕАЭС RU С-RU.МТ25.В.04867/22","11.01.2022","10.01.2026","врЕАЭС(ТР).МТ25.04886/22","Серийный выпуск",334704,,,"О безопасности колесных транспортных средств","р.V  пр.1 ТР ТС 018","Сертификат соответствия требованиям технического регламента Евразийского экономического союза (технического регламента Таможенного союза)","Категория N3 - Транспортные средства  предназначенные для перевозки грузов  имеющие технически допустимую максимальную массу более 12 т","Юридическое лицо","Изготовитель","ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""КАМАЗ""","423827  РОССИЯ  РЕСПУБЛИКА ТАТАРСТАН  ГОРОД НАБЕРЕЖНЫЕ ЧЕЛНЫ  ПРОСПЕКТ АВТОЗАВОДСКИЙ  2",1650032058,1021602013971,"Публичные акционерные общества","Юридическое лицо","ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""КАМАЗ""","423827  РОССИЯ  РЕСПУБЛИКА ТАТАРСТАН  ГОРОД НАБЕРЕЖНЫЕ ЧЕЛНЫ  ПРОСПЕКТ АВТОЗАВОДСКИЙ  2",1650032058,1021602013971,"Публичные акционерные общества","RA.RU.11МТ25","РОССИЯ",,"Транспортные средства категории N3",,"Транспортные средства марки КАМАЗ типа 65801 модификаций 65801-S5  65801-T5    категории N3G",,,,,,870423,,,"ТР ТС 018/2011",,,,,,,,,,,,,,"; ПРЕДСТАВИТЕЛЬСТВО ПАО ""КАМАЗ""",
3034136,"Архивный","ЕАЭС RU С-DE.МТ25.В.04906/22","27.01.2022","26.01.2026","врЕАЭС(ТР).МТ25.04926/22","Серийный выпуск",334742,,,"О безопасности колесных транспортных средств","р.V  пр.1 ТР ТС 018","Сертификат соответствия требованиям технического регламента Евразийского экономического союза (технического регламента Таможенного союза)","Категория M1 - Транспортные средства  используемые для перевозки пассажиров и имеющие  помимо места водителя  не более восьми мест для сидения - легковые автомобили","Юридическое лицо","Уполномоченное изготовителем лицо","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ФОЛЬКСВАГЕН ГРУП РУС""","248926  РОССИЯ  ОБЛАСТЬ КАЛУЖСКАЯ  ГОРОД КАЛУГА  УЛИЦА АВТОМОБИЛЬНАЯ  1",5042059767,1025005336564,"Общества с ограниченной ответственностью","Иностранное лицо","Volkswagen AG","ГЕРМАНИЯ  Berliner Ring 2  D-38440   Wolfsburg (координаты 52.437118  10.765929)",,,,"RA.RU.11МТ25","ГЕРМАНИЯ",,"Транспортные средства категории  М1",,"Транспортные средства марки Volkswagen типа 7H  модификации 7НС коммерческого наименования Transporter   California  Caravelle  Multivan;  модификации 7HMA коммерческого наименования  California категории M1",,,,,,870332,,,"ТР ТС 018/2011",,,,,,,,,,"RA.RU.21МТ02",2022-01-12,"70.1/RU/0/V/S/TCU018-A3P7/2022/5",,,"Volkswagen  Poznan sp. ZO.O; Volkswagen  AG"
