"id","Статус","Номер ДС","Дата рег","Срок действия","Номер ГТД","Тех регламенты","Группа продукции","Единый перечень продукции","Тип","Схема","Тип объекта декл","Тип заявителя","Тип декларанта","Заявитель","Адрес Заявителя","ИНН Заявителя","ОГРН Заявителя","ОПФ Заявителя","Филиал Заявителя","Тип изготовителя","Изготовитель","Адрес изготовителя","ИНН производителя","ОГРН изготовителя","ОПФ Изготовителя","Филиал изготовителя","ОС","Происхождение продукции","Полное наименование","Размер партии","Обозначение","Тип продукции","Торговая марка","Модель","Артикул","Сорт","Коды ОКПД2 / ТНВЭД","Глобальный номер GTIN","Заводской номер изделия","Стандарт продукции","Дата приостановки","Срок приостановки","Дата прекращения","Дата возобновления","Дата продления","Дата направления увед","Номер серт на тип прод","Серт соотв СМК","Номер типа шасси","ИЛ","Жата протокола ИЛ","Номер протокола ИЛ","Временный номер декл","Зарег Заявителем (СРД)","Статус исследований"
20543932,"Архивный","ЕАЭС N RU Д-RU.РА07.А.63018/25","29.08.2025","01.01.2026",,"О безопасности пищевой продукции; Пищевая продукция в части ее маркировки","Овощи  картофель  бахчевые и продукты из них",,"Декларация о соответствии требованиям технического регламента Евразийского экономического союза (технического регламента Таможенного союза)","2д","Партия","Индивидуальный предприниматель","Изготовитель","Плахотя Николай Николаевич","РОССИЯ; 352020  РОССИЯ  край Краснодарский  р-н Кущевский  ст-ца Кисляковская  ул Кирова  дом 32",234000673752,308234035900031,,,"Индивидуальный предприниматель","Плахотя Николай Николаевич","РОССИЯ",234000673752,308234035900031,,,,"Российская Федерация","Плодоовощная продукция","2000 тонн","Свёкла сахарная  гибриды: АЛАНДО  КАЙМАН  урожай 2025 года  справка о формировании партии № 12 от 18.08.2025 г.",,,,,,1212918000,,,,,,,,,,,,,,"2025-08-22; 2025-08-22","1558/2; 1558/1","врЕАЭС(ТР).РА07.79923/25","true","Испытания проводились в иной лаборатории"
19811380,"Архивный","ЕАЭС N RU Д-DE.РА01.В.26651/25","22.01.2025","20.01.2026",,"О безопасности пищевой продукции; Пищевая продукция в части ее маркировки","Шоколад (в том числе диабетический) и изделия из него",,"Декларация о соответствии требованиям технического регламента Евразийского экономического союза (технического регламента Таможенного союза)","1д","Серийный выпуск","Юридическое лицо","Уполномоченное изготовителем лицо","Общество с ограниченной ответственностью ""ФЦС""","630091  Россия  Новосибирская область   г Новосибирск  ул Романова  Д. 39  Офис   403      ",5403055932,1205400003962,"Общества с ограниченной ответственностью",,"Иностранное лицо","« Capri Sun GmbH»","Германия  Rudolf-Wild-Str. 86-98 69214  Eppelheim  Baden-Württemberg",,,,"Адрес места осуществления деятельности по изготовлению продукции:",,"Федеративная Республика Германия","Воды  включая минеральные и газированные  содержащие добавки сахара  подслащивающих или вкусо-ароматических веществ: капри-сан пузырьки вишня  прайм  гидратирующий напиток клубника-арбуз",,"Воды  включая минеральные и газированные  содержащие добавки сахара  подслащивающих или вкусо-ароматических веществ: капри-сан пузырьки вишня  прайм  гидратирующий напиток клубника-арбуз",,,,,,2202100000,,,,,,,,,,,,,,2025-01-17,"01.25И1100.1231","врЕАЭС(ТР).РА01.28686/25","true","Испытания проводились в иной лаборатории"
20317626,"Архивный","ВП RU Д-CL.РА01.А.57226/25","01.07.2025","31.12.2025",,,,15001257,"Декларация о соответствии продукции  включенной в перечень продукции Российской Федерации",3674,"Партия","Юридическое лицо","Продавец","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЮНИФРОСТ""","195027  РОССИЯ   Г.САНКТ-ПЕТЕРБУРГ  УЛ. ЯКОРНАЯ  Д. 17  ЛИТЕР А   ОФИС 208",814162716,1040866727109,"Общества с ограниченной ответственностью",,"Иностранное лицо","SUDMARIS CHILE SOCIEDAD ANONIMA (номер предприятия 10774)","ЧИЛИ  SECTOR HUENOCOIHUE RURAL S N  DALCAHUE  REGION DE LOS LAGOS",,,,,,"Республика Чили","Варено - мороженые водные беспозвоночные","22 070 80 кг","мидии на одной створке (в половинке раковины) в/м (Mytilus Chilensis) с маркировкой: «10774». Упаковка: мешки  пакеты  пленка из полимерных и комбинированных материалов  в т.ч. вакуумные пакеты  картонные коробки  массой нетто от 0 1 килограмма до 50 килограмм",,,,,,"1605531000; 1605539000",,,"ТР ЕАЭС 040/2016  ТР ТС 021/2011  ТР ТС 022/2011",,,,,,,,,,,"2025-03-06; 2025-02-19","MICR-628/25; PAC-97-2025","врРФ(ВП).РА01.59076/25","true","Испытания проводились в иной лаборатории"
19811193,"Архивный","ЕАЭС N RU Д-KR.РА01.В.26509/25","22.01.2025","20.01.2026",,"О безопасности низковольтного оборудования; Электромагнитная совместимость технических средств","Технические средства  не включенные в Перечень продукции  подлежащей сертификации к ТР ТС 020/2011",,"Декларация о соответствии требованиям технического регламента Евразийского экономического союза (технического регламента Таможенного союза)","1д","Серийный выпуск","Юридическое лицо","Уполномоченное изготовителем лицо","Общество с ограниченной ответственностью ""ФЦС""","630091  Россия  Новосибирская область   г Новосибирск  ул Романова  Д. 39  Офис   403      ",5403055932,1205400003962,"Общества с ограниченной ответственностью",,"Иностранное лицо","« Won Woo Korea Co.  Ltd.»","Корея  Республика  Yeonsu-Gu  Incheon  111-113  208  Neungheodae-Ro",,,,"Адрес места осуществления деятельности по изготовлению продукции:",,"Республика Корея","Игровое оборудование подключаемое к сети переменного тока: игровые приставки",,"Игровое оборудование подключаемое к сети переменного тока: игровые приставки",,,,,,9504500001,,,,,,,,,,,,,,2025-01-20,"01.25И1100.1272","врЕАЭС(ТР).РА01.28530/25","true","Испытания проводились в иной лаборатории"
19811199,"Архивный","ЕАЭС N RU Д-CN.РА01.В.26516/25","22.01.2025","20.01.2026",,"О безопасности продукции легкой промышленности","Изделия текстильно-галантерейные (изделия гардинно-тюлевые  полотно кружевное и изделия кружевные  изделия штучные  галстуки  накидки  покрывала  шторы и другие аналогичные изделия)",,"Декларация о соответствии требованиям технического регламента Евразийского экономического союза (технического регламента Таможенного союза)","1д","Серийный выпуск","Юридическое лицо","Уполномоченное изготовителем лицо","Общество с ограниченной ответственностью ""ФЦС""","630091  Россия  Новосибирская область   г Новосибирск  ул Романова  Д. 39  Офис   403      ",5403055932,1205400003962,"Общества с ограниченной ответственностью",,"Иностранное лицо","«Guangzhou YZH Skirmish  Co.  Ltd..»","Китай  Building 65  No. 200  Fangcun Ave. East  Liwan Guangzhou  Guangdong   China",,,,"Адрес места осуществления деятельности по изготовлению продукции:",,"Китайская Народная Республика","Одежда трикотажная: летняя камуфлированная форма «Эмерсон» мультикам в комплекте  зимняя камуфлированная форма «Эмерсон» мультикам в комплекте  бейсболки «Эмерсон» мультикам ",,"Одежда трикотажная: летняя камуфлированная форма «Эмерсон» мультикам в комплекте  зимняя камуфлированная форма «Эмерсон» мультикам в комплекте  бейсболки «Эмерсон» мультикам",,,,,,6203231000,,,,,,,,,,,,,,2025-01-20,"01.25И1100.1270","врЕАЭС(ТР).РА01.28536/25","true","Испытания проводились в иной лаборатории"
20328345,"Архивный","ВП RU Д-RU.РА01.А.58383/25","03.07.2025","02.01.2026",,,,15018706,"Декларация о соответствии продукции  включенной в перечень продукции Российской Федерации",3674,"Единичное изделие","Юридическое лицо","Изготовитель","АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЦЕНТР ЭКСПЛУАТАЦИИ ОБЪЕКТОВ НАЗЕМНОЙ КОСМИЧЕСКОЙ ИНФРАСТРУКТУРЫ""","129110  РОССИЯ   Г.МОСКВА  УЛ. ЩЕПКИНА  Д. 42  СТР. 1; 2 ; 107241  РОССИЯ  г Москва  ул Байкальская  дом 9 строение 1",9702013720,1207700033760,"Непубличные акционерные общества",,"Юридическое лицо","АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЦЕНТР ЭКСПЛУАТАЦИИ ОБЪЕКТОВ НАЗЕМНОЙ КОСМИЧЕСКОЙ ИНФРАСТРУКТУРЫ""","129110  РОССИЯ   Г.МОСКВА  УЛ. ЩЕПКИНА  Д. 42  СТР. 1; 2 ",9702013720,1207700033760,"Непубличные акционерные общества","АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЦЕНТР ЭКСПЛУАТАЦИИ ОБЪЕКТОВ НАЗЕМНОЙ КОСМИЧЕСКОЙ ИНФРАСТРУКТУРЫ""",,"Российская Федерация","«Устройство адаптации к переменной нагрузке» 373СЭ09.03",,"«Устройство адаптации к переменной нагрузке» 373СЭ09.03",,,,,,8537109800,,32322711,"ТР ТС 004/2011  ТР ТС 020/2011  ГОСТ IEC 61439-1-2013  ГОСТ Р 51317.4.5-99 (МЭК 61000-4-5-95)  ГОСТ 30804.4.2-2013 (IEC 61000-4-2:2008)  ГОСТ 30804.4.4-2013 (IEC 61000-4-4:2004)",,,,,,,,,,"РОСС RU.0001.21ГА31",2022-04-01,"31-000056-22","врРФ(ВП).РА01.60306/25","true","Испытания проводились в аккредитованной в ЕАЭС лаборатории"
20526501,"Архивный","ЕАЭС N RU Д-RU.РА07.А.48287/25","28.08.2025","01.01.2026",,"О безопасности пищевой продукции","Овощи  картофель  бахчевые и продукты из них",,"Декларация о соответствии требованиям технического регламента Евразийского экономического союза (технического регламента Таможенного союза)","2д","Партия","Юридическое лицо","Изготовитель","КРЕСТЬЯНСКОЕ (ФЕРМЕРСКОЕ) ХОЗЯЙСТВО ""АЯКС""","353741  РОССИЯ   КРАСНОДАРСКИЙ КРАЙ  ЛЕНИНГРАДСКИЙ Р-Н  СТ-ЦА ЛЕНИНГРАДСКАЯ  УЛ КОСМОНАВТОВ  Д. 60  ---; 353741  РОССИЯ  Краснодарский край  Ленинградский р-н  Ленинградская ст-ца  Космонавтов ул  дом 60",2341001760,1022304293989,"Крестьянские (фермерские) хозяйства",,"Юридическое лицо","КРЕСТЬЯНСКОЕ (ФЕРМЕРСКОЕ) ХОЗЯЙСТВО ""АЯКС""","353741  РОССИЯ   КРАСНОДАРСКИЙ КРАЙ  ЛЕНИНГРАДСКИЙ Р-Н  СТ-ЦА ЛЕНИНГРАДСКАЯ  УЛ КОСМОНАВТОВ  Д. 60  ---",2341001760,1022304293989,"Крестьянские (фермерские) хозяйства",,,"Российская Федерация","Плодоовощная продукция ","3000 тонн","Свекла сахарная  Гибрид ""Крокодил""  урожай 2025 года ",,,,,,1212918000,,,,,,,,,,,,,,"2025-08-19; 2025-08-19","1520 2; 1520 2","врЕАЭС(ТР).РА07.63692/25","true","Испытания проводились в иной лаборатории"
20758048,"Архивный","ЕАЭС N RU Д-ZA.РА09.А.59891/25","22.10.2025","21.01.2026",,"О безопасности пищевой продукции; Пищевая продукция в части ее маркировки","Фрукты  ягоды и продукты из них",,"Декларация о соответствии требованиям технического регламента Евразийского экономического союза (технического регламента Таможенного союза)","2д","Партия","Юридическое лицо","Продавец","АКЦИОНЕРНОЕ ОБЩЕСТВО ""ГРАНД-ТРЕЙД""","119021  РОССИЯ   Г.МОСКВА  МУНИЦИПАЛЬНЫЙ ОКРУГ ХАМОВНИКИ вн. тер. г.    УЛ ЛЬВА ТОЛСТОГО  Д. 5  СТР. 1   ЭТАЖ   6   ПОМЕЩ./КОМ.   1/23",9704137431,1227700266155,"Непубличные акционерные общества",,"Иностранное лицо","Zest Fruit (PTY) LTD","ЮЖНАЯ АФРИКА  43 Mark Street  Stellenbosch  7600",,,,,,"Южно-Африканская Республика","Мандарины свежие  апельсины свежие","263 187 кг","Мандарины свежие  апельсины свежие",,,,,,"0805102000; 0805210000",,,,,,,,,,,,,"RA.RU.21АС82","2025-10-21; 2025-10-21; 2025-10-21","2025/21-10-37; 2025/21-10-04; 2025/21-10-05","врЕАЭС(ТР).РА09.81165/25","true","Испытания проводились в аккредитованной в ЕАЭС лаборатории"
20536296,"Архивный","ЕАЭС N RU Д-RU.РА07.А.56170/25","28.08.2025","01.01.2026",,"О безопасности пищевой продукции; Пищевая продукция в части ее маркировки","Овощи  картофель  бахчевые и продукты из них",,"Декларация о соответствии требованиям технического регламента Евразийского экономического союза (технического регламента Таможенного союза)","2д","Партия","Индивидуальный предприниматель","Изготовитель","Пивень Николай Алексеевич","353715  РОССИЯ  край Краснодарский  Каневской район  станица Челбасская  улица Красная  дом 111.; 353715  РОССИЯ  край Краснодарский  Каневской район  станица Челбасская.",233400469245,304233417500071,,,"Индивидуальный предприниматель","Пивень Николай Алексеевич","353715  РОССИЯ  край Краснодарский  Каневской район  станица Челбасская  улица Красная  дом 111.",233400469245,304233417500071,,,,"Российская Федерация","СВЕКЛА САХАРНАЯ  урожай 2025 года.","2800 тонн  справка б/н от 25.08.2025 года","СВЕКЛА САХАРНАЯ  урожай 2025 года.",,,,,,1212918000,,,"ГОСТ 33884-2016 «Свекла сахарная. Технические условия»",,,,,,,,,,,2025-08-26,"№ ИЛ13-68683 ","врЕАЭС(ТР).РА07.72871/25","true","Испытания проводились в иной лаборатории"
20338694,"Архивный","ВП RU Д-KR.РА01.А.60421/25","05.07.2025","02.01.2026",,,,15001378,"Декларация о соответствии продукции  включенной в перечень продукции Российской Федерации",3674,"Партия","Юридическое лицо","Поставщик","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ХИТ МОТОРЗ РУС""","115054  Россия  город Москва  внутригородская территория (внутригородское муниципальное образование) города федерального значения  муниципальный округ Замоскворечье  набережная  Космодамианская  дом 52  строение 2",9723160500,1227700406977,"Общества с ограниченной ответственностью",,"Иностранное лицо","CES CO.  LTD","Корея  Республика  Songdo Techno Park Get-Pearl Tower 10th fl.  12  Gaetbeol-ro  Yeonsu-gu  Incheon",,,,,,"Республика Корея","Мебель общественная металлическая ","2 штуки","Мебель общественная металлическая: Стол-тележка подвижная (вспомогательная) для работы с контрольными приспособлениями переднего/заднего бампера  артикулы CES-005  CES-006",,,,,,9403109809,,,"ТР ТС 025/2012",,,,,,,,,,,2025-07-01,3556,"врРФ(ВП).РА01.62318/25","true","Испытания проводились в собственной (производственной) лаборатории"
